doy,month,hour,growth_stage,temperature_mean_C,temperature_max_C,temperature_min_C,humidity_pct,wind_speed_2m_ms,rainfall_mm,sunshine_hours,soil_moisture_pct,soil_ph,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,crop_health_score,Ra_MJ_m2_day,Rs_MJ_m2_day,Rn_MJ_m2_day,es_kPa,ea_kPa,VPD_kPa,ETo_mm_day,Kc,ETc_mm_day,Ks_stress_coeff,Pe_eff_rain_day_mm,CWR_mm_per_day,soil_fertility_score,fertility_class,irrigation_needed
149,5,9,3,33.94,38.74,28.02,56.2,1.552,5.44,7.44,25.19,6.47,48.0,23.8,101.0,36.5,39.2187,21.0102,13.6181,5.3399,3.0009,2.339,5.9013,1.15,6.7865,0.1731,0.1767,0.9834,54.44,Medium,1
138,5,15,3,33.57,38.05,30.56,62.23,4.387,17.83,4.62,31.23,6.27,40.2,28.5,329.8,53.7,39.1426,16.7855,11.3351,5.513,3.4309,2.0821,6.699,1.15,7.7038,0.3744,0.5435,2.328,69.86,Medium,1
314,11,18,2,25.54,29.67,20.33,48.81,1.764,53.85,9.39,56.17,7.3,152.8,20.0,51.3,44.0,28.9141,19.3851,9.6171,3.2741,1.5983,1.6759,4.4871,0.85,3.814,1.0,1.331,2.513,52.9,Medium,1
65,3,6,3,28.08,31.34,23.24,41.21,1.8,23.91,8.78,31.06,6.45,122.3,38.8,140.7,45.9,33.8817,21.165,11.3002,3.7146,1.5308,2.1838,5.4676,1.15,6.2877,0.3686,0.7055,1.6409,68.46,Medium,1
13,1,9,4,21.59,26.79,15.6,59.3,4.768,22.32,3.16,36.1,6.8,159.3,25.8,229.4,56.0,27.4089,10.7895,6.1643,2.6477,1.57,1.0777,4.2706,0.7,2.9894,0.5366,0.6644,0.9534,74.97,Medium,1
213,8,17,4,23.23,26.25,19.96,83.16,2.101,121.77,2.6,58.54,6.33,128.4,24.6,250.1,46.9,38.7293,13.6069,9.1918,2.8714,2.3878,0.4836,3.0014,0.7,2.1009,1.0,4.0591,0.0,67.94,Medium,0
242,9,18,4,25.34,29.71,19.9,81.73,1.146,186.6,7.27,53.97,7.08,113.8,40.1,247.5,49.6,37.383,20.3206,12.9736,3.2486,2.6552,0.5934,4.1011,0.7,2.8708,1.0,4.7887,0.0,68.82,Medium,0
213,8,18,4,25.73,30.63,19.93,83.7,2.235,173.64,9.54,61.89,6.75,136.3,9.1,176.3,53.8,38.7293,24.0806,15.4031,3.364,2.8156,0.5484,4.7866,0.7,3.3506,1.0,4.7455,0.0,61.29,Medium,0
181,7,16,3,25.29,29.59,19.56,70.18,1.925,52.06,2.69,48.61,6.84,91.3,39.5,165.3,64.5,39.144,13.8019,9.2523,3.2093,2.2524,0.957,3.628,1.15,4.1723,0.9536,1.3017,2.6643,74.64,Medium,1
338,12,18,2,24.8,28.18,20.12,49.5,2.473,20.8,8.58,42.11,6.45,155.1,22.7,167.9,36.8,26.839,17.2368,8.258,3.0883,1.5287,1.5595,4.5148,0.85,3.8376,0.737,0.6241,2.2329,69.48,Medium,1
173,6,9,1,28.91,34.24,24.92,89.15,2.914,14.96,8.32,43.33,6.97,52.3,26.8,132.9,39.6,39.1842,22.2286,15.0553,4.2725,3.8088,0.4638,4.7546,0.4,1.9018,0.7776,0.4628,0.9932,63.98,Medium,1
160,6,15,4,29.77,33.74,24.85,81.97,1.892,56.38,5.95,54.57,7.23,165.5,15.3,123.2,41.9,39.2241,18.7164,12.7674,4.1905,3.4351,0.7554,4.4195,0.7,3.0937,1.0,1.3708,1.7198,50.6,Medium,1
164,6,14,1,30.38,33.79,26.47,76.84,3.334,100.05,9.54,59.01,6.12,151.8,16.9,42.2,46.4,39.2157,24.0861,15.9551,4.3559,3.347,1.0088,5.8668,0.4,2.3467,1.0,3.335,0.015,59.18,Medium,0
188,7,8,1,25.47,30.12,21.23,74.61,1.797,27.65,5.11,43.07,7.49,130.4,7.2,65.2,23.4,39.0973,17.4225,11.3162,3.3972,2.5346,0.8627,4.0422,0.4,1.6169,0.7689,0.7993,0.4275,43.65,Low,1
191,7,7,3,27.13,30.19,22.8,84.72,4.041,37.43,10.54,43.1,6.44,260.5,32.6,107.8,48.7,39.0726,25.5446,16.6033,3.5325,2.9927,0.5398,5.0874,1.15,5.8505,0.7701,1.0234,3.472,78.97,High,1
308,11,14,4,25.84,29.81,21.93,60.41,5.412,6.74,8.27,46.67,5.85,191.2,10.4,268.5,51.9,29.6326,18.3008,9.9546,3.4153,2.0633,1.352,5.7989,0.7,4.0593,0.889,0.2175,3.3675,73.09,Medium,1
256,9,14,4,29.32,34.57,25.29,92.26,0.374,30.71,7.37,44.26,7.22,168.1,17.3,123.9,39.1,36.1897,20.0462,13.6436,4.3566,4.0194,0.3372,4.4119,0.7,3.0884,0.8088,0.8728,1.6334,60.61,Medium,1
183,7,6,4,20.61,26.35,17.59,76.44,1.053,130.33,4.45,62.64,6.48,111.7,24.3,243.9,56.0,39.132,16.4349,10.4598,2.7217,2.0804,0.6412,3.3398,0.7,2.3379,1.0,4.3445,0.0039,70.21,Medium,0
117,4,11,1,32.21,36.99,28.32,68.25,2.527,7.5,5.49,45.25,5.76,181.7,18.8,242.0,45.1,38.6268,18.0579,12.1295,5.0605,3.4538,1.6067,5.383,0.4,2.1532,0.8416,0.2409,1.5794,65.79,Medium,1
282,10,15,4,29.03,32.68,24.61,53.14,2.955,32.54,8.28,44.68,6.74,164.1,36.9,153.1,58.6,33.1012,20.026,11.428,4.0173,2.1347,1.8826,5.9345,0.7,4.1542,0.8227,0.9151,2.5021,75.95,High,1
196,7,13,4,26.42,30.08,22.91,65.6,4.649,16.6,7.11,57.08,6.72,172.9,34.5,311.5,51.7,39.0231,20.4126,12.7581,3.5286,2.3149,1.2138,5.8055,0.7,4.0639,1.0,0.5091,3.557,75.72,High,1
34,2,8,2,23.96,28.77,18.54,53.19,2.985,31.47,3.97,36.34,6.23,95.1,17.0,188.0,41.0,29.6246,12.6515,7.1968,3.0436,1.6188,1.4247,4.356,0.85,3.7026,0.5448,0.8906,1.1212,67.23,Medium,1
52,2,16,3,19.84,24.06,15.23,41.97,4.228,0.0,7.24,51.8,6.85,122.0,22.5,133.4,42.2,32.0742,18.1185,9.1996,2.3631,0.9918,1.3714,5.5753,1.15,6.4116,1.0,0.0,6.4037,66.26,Medium,1
112,4,14,4,32.56,36.09,27.17,56.09,2.572,38.55,11.76,50.89,7.24,121.9,19.4,127.0,47.8,38.4015,27.6005,17.0312,4.7859,2.6845,2.1013,7.4195,0.7,5.1937,1.0,1.0471,4.1449,56.2,Medium,1
252,9,7,4,28.04,33.4,24.66,84.78,3.236,30.33,7.26,32.52,6.67,128.4,41.1,259.9,62.6,36.5692,20.0147,13.1479,4.1242,3.4965,0.6277,4.4848,0.7,3.1394,0.4172,0.8637,0.4332,81.31,High,1
82,3,11,3,27.21,30.81,21.75,36.77,4.797,16.08,10.08,43.26,8.25,145.1,56.0,53.7,41.1,35.9911,24.0811,12.6406,3.5242,1.2958,2.2284,8.2872,1.15,9.5303,0.7754,0.4946,6.8966,51.91,Medium,1
232,8,6,3,25.23,29.2,19.36,96.38,3.183,84.36,2.51,50.8,6.43,70.5,18.5,109.1,36.5,38.0053,13.3019,9.2675,3.149,3.035,0.1141,2.4393,1.15,2.8052,1.0,2.8121,0.0,63.25,Medium,0
227,8,18,1,29.79,32.98,25.73,75.55,2.429,48.57,2.52,32.53,7.08,141.7,19.4,92.5,40.0,38.2492,13.3872,9.2974,4.1661,3.1475,1.0187,3.8695,0.4,1.5478,0.4178,1.2416,0.0,59.95,Medium,0
233,8,12,1,24.53,29.64,20.68,63.81,2.836,10.85,4.97,60.13,6.56,42.9,18.6,203.7,53.7,37.9513,17.0196,10.6166,3.2971,2.104,1.1931,4.6709,0.4,1.8684,1.0,0.3429,1.5266,64.39,Medium,1
221,8,8,1,24.61,28.43,19.67,94.81,2.244,9.06,9.89,61.24,7.07,242.3,30.7,255.5,65.4,38.4886,24.5896,15.928,3.0833,2.9232,0.1601,4.2842,0.4,1.7137,1.0,0.289,1.3865,69.25,Medium,1
42,2,12,3,24.49,28.18,19.58,58.11,1.206,0.0,8.3,46.38,6.86,88.6,56.0,93.9,46.3,30.6807,18.9021,10.2133,3.0492,1.7718,1.2774,3.8848,1.15,4.4675,0.8794,0.0,3.9302,73.94,Medium,1
21,1,9,2,22.59,26.5,19.26,49.44,3.628,6.74,3.87,43.78,7.17,110.4,15.8,322.7,50.7,28.1323,11.9535,6.5114,2.8478,1.408,1.4399,4.6618,0.85,3.9625,0.7925,0.2173,2.9359,66.11,Medium,1
42,2,14,4,24.34,29.96,18.56,52.48,2.189,9.94,2.51,35.57,5.91,131.0,42.4,242.3,52.9,30.6807,11.0656,6.7049,3.1852,1.6717,1.5135,3.838,0.7,2.6866,0.5189,0.3155,1.0635,69.98,Medium,1
113,4,10,3,33.98,38.54,29.55,50.83,0.944,15.79,6.03,42.73,7.36,181.4,18.3,88.2,29.3,38.4503,18.8486,12.0178,5.4767,2.784,2.6926,5.0617,1.15,5.821,0.7575,0.4863,3.9345,55.47,Medium,1
105,4,8,2,30.02,33.5,24.73,36.14,3.301,0.0,8.94,45.16,6.93,186.8,35.6,94.7,44.3,38.0052,23.1763,12.8533,4.145,1.4979,2.6471,7.7605,0.85,6.5964,0.8385,0.0,5.5406,71.32,Medium,1
192,7,13,3,24.7,30.02,20.62,68.02,3.595,30.71,11.57,59.7,6.37,97.2,5.2,154.0,51.0,39.0637,27.0884,16.1827,3.3387,2.2709,1.0678,6.0327,1.15,6.9376,1.0,0.8727,6.084,59.93,Medium,1
17,1,11,2,18.93,22.55,15.14,61.52,0.998,27.73,8.82,65.88,7.11,130.3,38.1,263.8,61.8,27.7492,18.0379,8.8018,2.2279,1.3707,0.8572,2.9782,0.85,2.5314,1.0,0.8012,1.725,61.32,Medium,1
120,4,7,3,33.14,37.38,29.81,56.13,2.334,13.51,12.02,41.39,6.2,198.9,21.7,135.5,57.8,38.7404,28.0688,17.3944,5.3005,2.975,2.3255,7.5933,1.15,8.7323,0.713,0.421,5.8146,69.32,Medium,1
129,5,8,3,36.51,41.22,32.69,61.15,2.424,15.47,10.11,39.7,8.66,111.8,20.0,181.1,43.7,38.9953,25.1528,16.8668,6.4049,3.9169,2.488,7.5574,1.15,8.691,0.6567,0.4773,5.2186,37.11,Low,1
130,5,13,2,34.65,39.41,28.67,64.08,1.547,9.77,10.11,29.69,6.43,57.7,38.9,129.4,38.8,39.0164,25.1501,16.7005,5.5381,3.5486,1.9895,6.5954,0.85,5.6061,0.3231,0.3103,1.517,63.29,Medium,1
60,2,15,2,21.63,24.84,16.66,20.0,3.791,17.26,9.12,42.25,6.85,179.1,13.0,234.6,59.8,33.1965,21.318,9.499,2.517,0.5034,2.0136,6.9309,0.85,5.8913,0.7417,0.5276,3.8681,73.63,Medium,1
48,2,12,2,22.92,28.43,17.51,47.92,2.602,1.28,4.6,47.55,6.37,117.1,13.1,160.5,47.1,31.5116,14.2224,7.9229,2.9391,1.4085,1.5306,4.5124,0.85,3.8356,0.9183,0.0424,3.4572,70.78,Medium,1
29,1,15,2,26.5,30.94,20.63,40.45,2.757,0.0,7.05,42.37,6.95,57.9,33.5,47.5,47.2,29.0114,16.4152,8.1711,3.454,1.3971,2.0569,5.3841,0.85,4.5765,0.7458,0.0,3.4253,66.49,Medium,1
97,4,11,2,36.62,42.59,33.39,50.72,1.992,0.0,7.13,46.25,7.07,217.0,7.7,293.8,50.6,37.4291,20.221,12.9736,6.7989,3.4484,3.3505,6.6839,0.85,5.6813,0.875,0.0,4.9664,74.98,Medium,1
10,1,6,2,20.64,25.8,17.15,33.47,1.588,39.79,2.19,61.68,6.9,45.5,40.7,179.1,49.5,27.1838,9.5143,5.1861,2.6388,0.8833,1.7555,3.3999,0.85,2.8899,1.0,1.073,1.8442,60.14,Medium,1
242,9,14,2,24.63,30.61,18.85,87.97,3.808,162.38,11.13,51.95,6.63,205.8,11.8,253.2,60.5,37.383,26.1474,16.3829,3.2852,2.8901,0.3951,4.6883,0.85,3.985,1.0,4.7079,0.0115,78.42,High,0
314,11,8,2,24.73,29.09,20.03,58.6,2.61,13.91,7.87,59.61,8.0,130.6,25.8,192.9,54.5,28.9141,17.4113,9.2305,3.1847,1.8664,1.3184,4.4383,0.85,3.7725,1.0,0.4327,3.339,47.47,Low,1
232,8,10,3,28.1,31.52,23.19,98.0,1.571,117.58,9.25,62.76,7.49,215.4,41.7,180.6,39.5,38.0053,23.5186,16.0214,3.7352,3.6605,0.0747,4.5933,1.15,5.2823,1.0,3.9195,1.3632,53.95,Medium,1
277,10,12,2,23.62,28.8,19.34,51.0,2.229,38.25,5.99,45.56,7.55,92.1,24.5,96.2,46.4,33.7602,17.0385,9.5839,3.1025,1.5822,1.5203,4.6328,0.85,3.9379,0.8519,1.0409,2.3327,54.54,Medium,1
284,10,12,2,26.61,31.95,21.17,58.77,2.695,18.29,10.98,45.43,7.66,95.9,45.5,228.5,52.7,32.8328,23.7054,13.1025,3.6265,2.1314,1.4951,5.6968,0.85,4.8422,0.8477,0.5561,3.5574,55.78,Medium,1
203,7,8,3,26.03,31.59,21.48,91.7,2.693,201.43,2.91,56.03,6.87,154.4,22.7,61.2,44.7,38.9303,14.1116,9.7753,3.6028,3.3039,0.2989,3.0023,1.15,3.4526,1.0,4.8381,0.0,61.71,Medium,0
247,9,9,3,26.74,30.64,21.26,98.0,2.702,69.98,8.16,61.77,6.68,188.8,25.2,75.8,60.1,37.0004,21.5268,14.4237,3.4648,3.3955,0.0693,3.8005,1.15,4.3705,1.0,1.5491,2.8227,66.99,Medium,1
290,10,15,1,26.93,31.46,20.95,40.69,1.288,34.54,2.31,53.74,7.25,131.9,22.6,235.4,43.1,32.018,11.2063,6.7946,3.5462,1.4428,2.1034,3.6464,0.4,1.4585,1.0,0.9604,0.4854,61.53,Medium,1
264,9,12,1,25.37,30.94,20.43,90.95,2.692,9.7,2.94,50.77,6.92,101.0,18.6,248.7,40.8,35.3438,13.173,8.9279,3.4394,3.1282,0.3112,2.7792,0.4,1.1117,1.0,0.3083,0.847,67.55,Medium,1
214,8,13,2,25.83,31.42,21.24,85.98,1.949,52.58,7.54,65.04,6.9,68.0,33.0,191.8,44.6,38.7036,21.0625,13.7094,3.5628,3.0631,0.4997,4.3215,0.85,3.6733,1.0,1.3103,2.4048,61.58,Medium,1
200,7,7,2,23.97,27.05,19.88,65.83,2.737,231.88,6.35,66.98,6.88,98.8,51.2,191.5,63.8,38.974,19.2894,11.9669,2.9484,1.9409,1.0075,4.6569,0.85,3.9584,1.0,4.9396,0.0,63.52,Medium,0
79,3,14,1,25.34,30.35,21.76,56.67,3.135,0.0,5.85,65.71,7.09,52.8,23.0,227.8,53.4,35.6511,17.6238,10.451,3.4675,1.9652,1.5023,5.2767,0.4,2.1107,1.0,0.0,2.1131,53.52,Medium,1
343,12,12,1,21.54,26.34,16.57,59.42,1.531,27.66,5.86,47.92,6.72,201.9,27.5,292.0,60.2,26.615,13.8027,7.1077,2.6575,1.579,1.0785,3.0554,0.4,1.2221,0.9306,0.7997,0.3621,83.26,High,1
344,12,18,4,22.47,25.72,19.29,35.13,1.073,26.07,7.61,44.31,6.42,191.2,32.2,258.6,55.2,26.58,15.9206,6.8344,2.7719,0.9738,1.798,3.3014,0.7,2.311,0.8103,0.7602,1.1102,82.81,High,1
173,6,13,4,21.69,27.48,15.82,81.24,2.881,24.18,2.81,39.77,7.12,124.5,51.0,223.8,57.7,39.1842,13.9927,9.336,2.7322,2.2195,0.5126,3.1541,0.7,2.2079,0.6588,0.7124,0.7344,74.94,Medium,1
69,3,11,2,28.98,33.32,24.04,52.78,3.251,7.67,5.42,46.17,6.41,101.8,49.6,336.0,74.0,34.4134,16.51,9.9256,4.0554,2.1407,1.9148,5.7722,0.85,4.9064,0.8722,0.2461,4.0086,86.84,High,1
87,3,11,4,30.44,35.46,24.56,52.48,4.241,15.6,2.58,53.79,6.94,106.4,27.7,84.7,46.8,36.5206,13.0137,8.5173,4.4259,2.3226,2.1033,6.2599,0.7,4.3819,1.0,0.481,3.8986,59.18,Medium,1
101,4,14,1,32.11,37.76,28.29,58.25,1.59,15.77,6.39,41.25,5.73,19.5,47.0,60.1,42.4,37.7339,19.1879,12.2432,5.1909,3.0237,2.1672,5.3941,0.4,2.1577,0.7083,0.4858,1.033,58.23,Medium,1
8,1,9,2,21.15,24.54,15.31,46.0,1.088,16.06,7.58,47.72,6.85,134.6,33.0,71.8,42.0,27.0487,16.1192,7.5569,2.4112,1.1093,1.302,3.1132,0.85,2.6462,0.9239,0.4941,1.9536,71.61,Medium,1
333,12,16,3,20.15,25.72,15.32,41.05,5.699,19.28,10.09,56.34,7.34,120.8,29.1,286.1,49.5,27.1421,19.2666,8.1205,2.5235,1.036,1.4875,6.3244,1.15,7.2731,1.0,0.5832,6.6603,59.15,Medium,1
200,7,16,3,24.62,29.79,19.19,86.87,0.605,99.34,11.28,34.49,6.69,201.4,31.8,336.0,64.4,38.974,26.6805,16.8665,3.208,2.787,0.4211,5.108,1.15,5.8742,0.4829,3.3113,0.0135,82.21,High,0
87,3,10,1,26.6,32.12,23.07,67.72,2.195,23.61,9.06,38.63,6.73,110.5,24.1,163.5,54.3,36.5206,22.7821,13.7452,3.8045,2.5764,1.2281,5.2877,0.4,2.1151,0.621,0.6978,0.5879,66.71,Medium,1
43,2,14,4,27.62,32.1,23.12,66.98,2.467,8.31,2.27,63.78,5.92,193.7,21.2,20.0,40.8,30.8175,10.7861,7.0034,3.8062,2.5495,1.2567,3.6085,0.7,2.526,1.0,0.2659,2.2634,52.23,Medium,1
109,4,6,3,33.31,36.41,28.6,75.9,3.332,17.22,6.69,31.43,7.37,54.2,34.5,267.4,48.0,38.2436,19.8027,13.6886,4.9958,3.792,1.2039,5.5658,1.15,6.4006,0.381,0.5266,1.9051,52.36,Medium,1
152,6,9,4,21.63,26.64,17.45,78.3,3.863,113.31,2.63,70.96,8.05,280.0,19.5,122.2,50.2,39.2254,13.7587,9.1654,2.7427,2.1474,0.5953,3.4123,0.7,2.3886,1.0,3.7769,0.0107,35.44,Low,0
17,1,12,3,23.43,27.55,19.67,50.32,2.702,32.0,7.56,48.86,6.13,77.3,23.0,222.3,46.3,27.7492,16.4506,8.0906,2.9862,1.5027,1.4835,4.5239,1.15,5.2025,0.9619,0.9028,4.0924,65.56,Medium,1
133,5,16,4,39.3,43.51,33.58,30.48,0.512,1.49,2.57,49.41,6.54,148.4,35.1,185.1,42.7,39.0723,13.6753,8.8484,7.0335,2.1437,4.8898,4.0267,0.7,2.8187,0.9802,0.0493,2.6913,72.63,Medium,1
148,5,14,3,36.27,40.6,33.02,45.84,7.504,12.47,7.42,41.89,6.42,48.5,28.2,157.9,38.9,39.2153,20.9936,13.2535,6.3242,2.8993,3.4249,11.5558,1.15,13.2891,0.7298,0.3909,9.2914,67.69,Medium,1
277,10,18,3,30.98,35.45,27.51,36.2,3.023,0.0,4.79,33.6,6.92,200.0,56.0,213.5,58.7,33.7602,15.3198,8.6894,4.7197,1.7083,3.0113,6.6884,1.15,7.6916,0.4534,0.0,3.4694,75.75,High,1
232,8,16,2,26.69,31.68,22.73,78.55,3.993,76.77,11.63,54.68,6.72,130.6,13.7,49.5,37.6,38.0053,27.1221,16.9389,3.7166,2.9193,0.7973,5.7547,0.85,4.8915,1.0,2.5591,2.3183,60.52,Medium,1
314,11,17,2,27.48,32.66,21.72,65.62,2.189,9.47,2.71,37.46,7.81,151.2,18.2,20.0,29.7,28.9141,10.7396,6.7532,3.7666,2.4716,1.295,3.4593,0.85,2.9404,0.5819,0.3013,1.399,43.24,Low,1
228,8,18,1,27.36,32.69,22.66,92.65,0.693,0.0,11.21,42.44,7.15,232.0,44.6,206.3,55.2,38.2038,26.5345,17.4915,3.8475,3.5646,0.2829,5.4234,0.4,2.1693,0.7482,0.0,1.6235,78.26,High,1
139,5,15,3,37.38,42.4,33.26,48.7,0.879,6.24,3.29,31.13,7.05,127.0,56.0,240.8,47.7,39.1536,14.7657,10.0126,6.7389,3.2821,3.4568,4.5785,1.15,5.2653,0.3711,0.2018,1.7911,70.77,Medium,1
211,8,11,4,25.79,31.2,21.58,76.25,3.633,0.0,7.25,28.37,6.93,113.3,39.5,193.5,48.5,38.7774,20.6372,13.1377,3.5611,2.7153,0.8457,4.8714,0.7,3.41,0.279,0.0,0.9601,64.36,Medium,1
28,1,17,3,17.71,21.08,12.2,43.88,1.462,22.39,6.58,41.08,6.23,59.9,19.1,148.8,43.3,28.8941,15.7533,7.6867,1.9601,0.86,1.1001,3.2186,1.15,3.7014,0.7027,0.6661,1.9461,65.7,Medium,1
51,2,13,4,21.28,26.79,18.2,60.63,4.167,48.67,8.24,58.11,5.65,128.4,23.6,183.0,42.2,31.9332,19.4437,10.4101,2.8053,1.7008,1.1046,4.9886,0.7,3.492,1.0,1.2434,2.2507,52.1,Medium,1
261,9,18,4,23.32,27.48,20.29,78.86,1.614,15.04,8.31,52.47,6.38,18.2,11.0,144.8,26.5,35.6741,21.2275,12.8536,3.0242,2.385,0.6392,4.1209,0.7,2.8847,1.0,0.4652,2.4189,59.67,Medium,1
261,9,14,3,19.69,24.27,16.55,84.64,1.639,50.21,11.35,51.59,6.15,113.0,38.8,171.8,55.3,35.6741,25.7329,14.9036,2.458,2.0804,0.3776,4.1773,1.15,4.8039,1.0,1.2704,3.5465,74.58,Medium,1
350,12,15,4,20.91,25.21,16.51,58.69,0.96,0.0,8.29,47.15,6.94,215.9,29.0,201.9,56.6,26.4411,16.6793,8.0114,2.5431,1.4926,1.0505,2.9408,0.7,2.0586,0.905,0.0,1.8465,74.73,Medium,1
352,12,9,1,25.54,29.97,20.79,59.42,1.164,23.24,8.73,55.95,6.21,229.0,2.0,173.3,47.4,26.4221,17.2024,8.7006,3.3453,1.9877,1.3576,3.5078,0.4,1.4031,1.0,0.6881,0.7265,61.04,Medium,1
8,1,6,2,18.41,22.27,13.54,24.15,1.103,30.11,2.19,61.02,5.21,170.9,29.5,105.7,36.3,27.0487,9.4675,5.0014,2.119,0.5117,1.6073,2.8081,0.85,2.3869,1.0,0.8585,1.5065,43.96,Low,1
320,11,13,4,26.82,30.33,21.63,57.61,0.621,2.5,8.27,38.62,6.23,44.4,27.6,249.4,40.3,28.2615,17.602,9.3884,3.4542,1.9899,1.4643,3.3993,0.7,2.3795,0.6205,0.0824,1.4019,66.65,Medium,1
138,5,7,3,36.32,39.64,32.75,52.99,1.555,7.58,6.03,47.14,8.06,151.9,12.0,52.1,36.8,39.1426,18.9287,12.536,6.0977,3.2313,2.8663,5.87,1.15,6.7505,0.9046,0.2436,5.8643,38.62,Low,1
38,2,16,2,24.57,28.93,20.79,33.97,0.451,31.35,3.99,68.75,7.61,165.5,23.1,260.1,59.4,30.1431,12.8689,6.8097,3.2221,1.0945,2.1275,2.7067,0.85,2.3007,1.0,0.8878,1.413,48.85,Low,1
111,4,6,1,35.96,39.33,32.23,65.82,3.299,14.09,8.17,37.89,6.47,147.5,26.5,198.6,51.6,38.3508,22.0933,15.1055,5.9665,3.9269,2.0396,7.0552,0.4,2.8221,0.5963,0.4378,1.2263,72.43,Medium,1
220,8,18,4,24.9,28.63,21.45,83.98,2.928,337.22,8.96,78.58,7.73,103.2,33.5,127.1,44.6,38.5233,23.1953,14.7306,3.2388,2.7199,0.5189,4.546,0.7,3.1822,1.0,5.2907,0.0069,35.14,Low,0
337,12,12,4,25.8,29.2,22.07,36.52,1.301,2.89,3.52,49.69,6.47,76.1,21.0,166.0,53.8,26.8935,11.046,5.7553,3.3543,1.2249,2.1294,3.4276,0.7,2.3993,0.9898,0.095,2.2865,69.1,Medium,1
223,8,17,2,24.5,27.83,19.66,76.18,4.212,284.11,3.57,77.71,6.51,84.9,38.0,106.6,57.8,38.4149,15.0154,9.9157,3.016,2.2974,0.7185,3.9164,0.85,3.3289,1.0,5.1137,0.0019,55.34,Medium,0
136,5,15,4,35.86,41.51,31.76,49.9,1.735,29.9,11.43,55.13,6.98,94.2,56.0,111.6,59.7,39.1177,27.1302,16.9144,6.3395,3.1631,3.1763,7.6168,0.7,5.3318,1.0,0.8536,4.4331,68.44,Medium,1
256,9,14,3,25.65,30.67,20.34,98.0,2.62,56.18,2.43,58.88,5.81,97.2,43.7,216.8,66.6,36.1897,12.6664,8.8162,3.3983,3.3304,0.068,2.3648,1.15,2.7195,1.0,1.3676,1.3488,62.58,Medium,1
360,12,16,2,19.69,25.46,15.08,43.26,3.862,8.5,3.34,50.57,8.25,161.8,23.2,207.3,55.4,26.4846,10.6845,5.558,2.4851,1.0751,1.4101,4.6846,0.85,3.9819,1.0,0.2718,3.7178,51.34,Medium,1
329,11,17,2,21.63,26.57,18.0,45.11,2.031,19.4,6.85,51.97,6.96,145.8,33.8,176.5,59.9,27.4383,15.4033,7.3014,2.7696,1.2494,1.5202,3.9835,0.85,3.386,1.0,0.5863,2.7861,71.64,Medium,1
49,2,17,4,25.44,30.97,21.04,53.8,1.609,13.83,5.52,43.62,6.61,261.3,52.6,119.6,64.5,31.6519,15.5468,8.7969,3.4887,1.8769,1.6118,4.0584,0.7,2.8409,0.7872,0.4304,1.7876,86.78,High,1
292,10,14,1,31.37,36.03,26.59,73.41,4.2,27.22,3.92,35.24,6.97,135.5,46.2,184.5,43.8,31.7452,13.3515,8.8928,4.7161,3.4621,1.254,4.642,0.4,1.8568,0.508,0.7889,0.1772,71.56,Medium,0
324,11,8,1,25.61,30.0,20.01,49.68,0.83,0.93,7.28,30.34,7.26,198.4,27.5,81.2,34.7,27.8705,16.1497,8.196,3.2913,1.6351,1.6562,3.3108,0.4,1.3243,0.3448,0.0308,0.4133,56.26,Medium,1
78,3,11,1,29.28,33.87,23.78,47.53,3.067,0.0,4.56,54.36,6.82,149.0,37.1,181.3,51.3,35.5343,15.6628,9.4994,4.1132,1.9551,2.1581,5.9075,0.4,2.363,1.0,0.0,2.3413,70.01,Medium,1
105,4,12,1,29.11,33.07,24.83,53.8,4.041,1.14,5.79,39.48,7.05,131.4,47.6,96.2,47.3,38.0052,18.3612,11.3651,4.094,2.2026,1.8915,6.5583,0.4,2.6233,0.6494,0.0379,1.6709,65.81,Medium,1
169,6,15,2,27.96,32.94,23.02,78.7,3.33,221.74,6.67,61.26,6.49,135.3,37.5,197.6,59.6,39.2001,19.7688,13.05,3.9126,3.0793,0.8334,4.7927,0.85,4.0738,1.0,4.9058,0.0,74.67,Medium,0
217,8,14,2,19.8,25.49,15.91,78.55,2.048,21.37,5.02,49.99,6.52,257.8,22.6,141.6,60.1,38.6192,17.2375,10.8241,2.5348,1.9912,0.5436,3.4445,0.85,2.9278,0.9997,0.6392,2.2881,79.96,High,1
119,4,7,4,30.01,35.36,25.11,61.62,5.192,12.05,4.77,49.86,6.71,63.1,42.3,145.3,59.7,38.7043,16.9639,11.0431,4.462,2.7496,1.7123,6.5501,0.7,4.5851,0.9955,0.3784,4.1854,76.41,High,1
190,7,13,1,28.34,32.72,22.6,77.03,1.143,167.81,6.28,56.51,6.65,166.2,45.5,248.0,65.3,39.0812,19.1639,12.692,3.8469,2.9632,0.8837,4.3318,0.4,1.7327,1.0,4.726,0.0,74.44,Medium,0
255,9,12,1,26.03,31.9,21.16,78.49,3.336,87.08,4.23,40.52,7.17,87.7,21.1,264.6,52.4,36.2874,15.3926,10.061,3.6193,2.8407,0.7785,3.934,0.4,1.5736,0.6841,2.9026,0.0,62.61,Medium,0
266,9,9,4,26.26,32.22,22.35,92.0,3.366,245.28,2.39,46.9,6.48,124.2,18.4,170.0,39.5,35.1155,12.2904,8.4684,3.7579,3.4574,0.3006,2.6835,0.7,1.8784,0.8968,4.9843,0.0179,73.66,Medium,0
